State_ab,Median Income,Mean Income,Standard Deviation
AK,108911.69523809524,77670.20952380952,51760.066666666666
AL,62771.24144486692,53612.925855513306,41725.63878326996
AR,52381.60588235294,52060.361764705885,40817.958823529414
AZ,79373.54457050243,62578.07131280389,43626.81685575365
CA,100581.73292682927,78126.73780487805,53652.97896341464
CO,99512.92205323195,73322.82129277567,49529.67680608365
CT,120557.34929577465,89227.21971830986,58091.32394366197
DC,93759.59375,90668.421875,62519.21875
DE,87086.03409090909,70142.34090909091,51072.88636363636
FL,75203.75677302829,60887.88982540638,45366.67248645394
GA,71669.21149144255,60354.39119804401,44740.784841075794
HI,95679.36231884058,77859.58695652174,52302.688405797104
IA,80540.41629955947,62569.14537444934,44822.944933920706
ID,81455.55033557047,56211.44295302014,42122.94630872483
IL,86771.18518518518,69067.38155136269,48763.42068483578
IN,83273.609375,59153.83238636364,42072.822443181816
KS,82433.13648293963,61704.81889763779,42916.482939632544
KY,64374.350100603624,55250.16297786721,42184.15492957747
LA,59831.225048923676,55432.26418786693,44164.49706457926
MA,118008.03880597015,84878.68358208955,58260.86716417911
MD,113988.23208191126,87689.60409556315,54828.65529010239
ME,66040.71337579619,60708.52229299363,48075.12101910828
MI,70040.0545144804,59001.124361158436,42550.54514480409
MN,88461.72542901715,71403.9984399376,49469.21372854914
MO,70934.11,56674.88285714286,41619.24857142857
MS,57423.01246105919,48924.0031152648,39858.77570093458
MT,68587.66891891892,57350.55405405405,44178.16216216216
NC,70692.51147540983,57750.10491803279,43425.34207650273
ND,83476.15126050421,65137.06722689076,47212.19327731092
NE,90510.68727272727,61719.38545454545,43144.76727272727
NH,101146.00763358778,76113.50381679389,52030.84732824427
NJ,125685.82995495496,88657.64414414414,57617.36261261261
NM,82390.7625,57127.075,43344.75
NV,90228.09811320755,65684.12075471698,44747.91320754717
NY,100544.02685185186,76201.22083333334,53226.68518518518
OH,74885.29873980726,59675.86360266864,43011.284655300224
OK,61972.666666666664,55121.33125,42322.26458333333
OR,85136.76485788113,63597.04909560723,46565.751937984496
PA,83214.73152542373,64878.69491525424,46611.31186440678
PR,22048.255263157895,27255.576315789473,24979.07894736842
RI,105751.98165137615,72971.1743119266,52377.0
SC,68207.05664488017,55715.248366013075,43063.21786492375
SD,81221.0,58276.9609375,41901.0
TN,65054.75081967213,56271.95245901639,42670.001639344264
TX,85856.51304347826,65407.010434782605,46045.53391304348
UT,109378.08045977012,72132.21455938698,47244.54406130268
VA,103971.86369426752,79401.74012738853,50879.97834394904
VT,81112.72289156627,63195.49397590361,46970.20481927711
WA,99918.09156976744,74067.36191860466,49940.72093023256
WI,79387.05934718101,64143.255192878336,44883.82640949555
WV,63566.334677419356,52291.99596774193,42231.50403225807
WY,113605.57333333333,67552.66666666667,44192.49333333333
